Mon	B	Mod	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	Comments
114	w	C	0	0	0	0	0	1	1	1	1	1	1	Fire Elemental: Immune to Cold Spells R5
114	w	W	0	0	0	0	0	0	0	0	1	1	1	Fire Elemental: Immune to Hostile Water Spells R6
114	w	0	0	0	0	0	0	0	0	0	0	0	1	Fire Elemental: No Immune Friendly Fire Spells R9
129	S	+	0	0	0	0	1	1	1	1	1	1	2	Energy Elemental: Speed R4/R10
129	s	#29	0	1	1	1	1	2	2	2	3	3	3	Energy Elemental: Fire Shield Expert R8
129	s	#32	0	1	1	1	2	2	2	3	3	5	5	"Energy Elemental: Prot. from Water, Mass at R9"
129	w	0	0	0	0	0	0	0	0	0	0	0	1	Energy Elemental: No Immune Friendly Fire Spells R10
113	S	+	0	0	0	0	1	1	1	1	1	1	1	Earth Elemental: Speed R4
113	s	#33	0	0	1	1	1	2	2	5	5	5	5	"Earth Elemental: Protection from Earth, Mass at R7"
113	w	M	0	0	0	0	0	1	1	1	1	1	1	Earth Elemental: Immune to Meteor Shower at R5
113	w	S	0	0	0	0	0	0	1	1	1	1	1	Earth Elemental: Immune to Slow at R6
113	w	I	0	0	0	0	0	0	0	0	1	1	1	Earth Elemental: Immunity to Implosion at R8
113	W	+	0	2	4	6	8	10	11	12	13	14	15	"Earth Elemental: Magic Resist 2%/Rnk 1-5, 1%/Rnk 6-10"
125	S	+	0	0	0	0	1	1	1	1	1	1	2	Magma Elemental: Speed R4/R10
125	u	#113	0	10	20	30	40	50	60	70	80	90	100	Magma Elemental: Summon Earth Elementals 10%/Rank
125	w	S	0	0	0	0	0	0	0	1	1	1	1	Magma Elemental: Immune to Slow at R7
125	g	%	0	3	6	9	12	15	18	21	24	27	30	Magma Elemental: Reduce Spell Damage 3%/Rank
120	S	+	0	0	0	0	1	1	1	1	1	1	2	Psychic Elemental: Speed R4/R10
120	c	#60	0	2	4	6	8	10	12	14	16	18	20	Psychic Elemental: Hypnotize 2%/Rank
120	W	+	0	2	4	6	8	10	12	14	16	18	20	Psychic Elemental: Magic Resistance 2%/Rank
121	S	+	0	0	0	0	1	1	1	1	1	1	2	Magic Elemental: Speed R4/R10
121	R	+	0	0	0	0	0	1	1	1	1	2	2	Magic Elemental: Extra Retaliations R5/R9
121	w	0	0	0	0	0	0	0	0	0	0	1	1	Magic Elemental: No Immune Beneficial Spells at L9
121	C	+	0	1	1	1	2	2	2	3	3	3	4	Magic Elemental: Mana Reduction R1/R4/R7/R10
130	S	+	0	0	0	0	1	1	2	2	2	2	3	Firebird: Speed R4/R6/R10
130	s	#49	0	1	1	2	2	2	3	3	3	6	6	Firebird: Mirth: +1 approx. every 3 Ranks
130	s	#29	0	1	1	2	2	3	3	3	6	6	6	"Firebird: Fire Shield, Mass at R8"
130	f	f	0	0	0	0	0	1	1	1	1	1	1	Firebird: Fearless R5
131	S	+	0	0	0	0	1	1	2	2	2	2	3	Phoenix: Speed R4/R6/R10
131	R	+	0	0	0	0	0	1	1	1	1	1	2	Phoenix: Extra Retaliation R5/R10
131	s	#29	0	1	1	1	1	2	2	2	3	3	6	"Phoenix: Fire Shield, Mass at R10"
131	P	+	0	0	0	0	0	0	0	0	0	0	1	Phoenix: Extra Rebirth R10
131	f	f	0	0	0	0	0	1	1	1	1	1	1	Phoenix: Fearless R5
131	g	%	0	2	4	6	8	10	12	14	16	18	20	Phoenix: Reduce Damage 2%/Rank
116	S	+	0	0	0	0	1	1	1	1	1	1	1	Gold Golem: Speed R4
116	f	R	2	2	2	2	2	1	1	1	1	1	1	Gold Golem: No Retaliation R5
116	g	%	85	87	89	91	93	95	97	99	100	100	100	Gold Golem: Reduced Spell Damage +2%/Rank
117	S	+	0	0	0	0	1	1	1	1	1	1	1	Diamond Golem: Speed R4
117	f	R	2	2	2	2	2	1	1	1	1	1	1	Diamond Golem: No Retaliation R5
117	g	%	95	96	97	98	99	100	100	100	100	100	100	Diamond Golem: Reduced Spell Damage +1%/Rank
132	S	+	0	0	0	0	1	1	2	2	2	2	3	Azure Dragon: Speed R4/R6/R10
132	U	#123	0	20	40	60	80	100	120	140	160	180	200	Azure Dragon: Summon 20%/Rank Ice Elementals
132	w	4	0	0	0	0	0	1	1	1	1	1	1	Azure Dragon: Immune to Hostile L4 Spells R5
132	w	5	0	0	0	0	0	0	0	1	1	1	1	Azure Dragon: Immune to Hostile L5 Spells R7
132	w	0	0	0	0	0	0	0	0	0	1	1	1	Azure Dragon: No Immunity to Friendly Spells R8
133	S	+	0	0	0	0	1	1	2	2	2	2	3	Crystal Dragon: Speed R4/R6/R10
133	b	=	0	3	6	9	12	15	18	21	24	27	30	Crystal Dragon: Reduce Defense 3%/Rank
133	f	R	2	2	2	2	2	2	2	2	2	1	1	Crystal Dragon: No Retaliation R9
133	f	P	2	2	2	2	2	2	2	2	1	1	1	Crystal Dragon: Immune to Mind Spells R8
133	f	f	0	0	0	0	0	1	1	1	1	1	1	Crystal Dragon: Fearless R5
133	W	+	0	3	6	9	12	15	18	21	24	27	30	Crystal Dragon: Resistance +3%/Rank
134	S	+	0	0	0	0	1	1	2	2	2	2	3	Faerie Dragon: Speed R4/R6/R10
134	B	=	0	5	10	15	20	25	25	25	25	25	25	Faerie Dragon: Block 5%/Rank to 25%
134	p	#65	0	5	10	15	20	25	30	35	40	45	50	Faerie Dragon: Clone Target 5%/Rank
134	s	#36	0	1	1	1	2	2	2	3	3	4	4	"Faerie Dragon: Magic Mirror, Mass at R9"
134	f	f	0	0	0	0	0	1	1	1	1	1	1	Faerie Dragon: Fearless R5
135	S	+	0	0	0	0	1	1	2	2	2	2	3	Rust Dragon: Speed R4/R6/R10
135	h	#102	0	0	0	2	3	4	5	6	7	8	9	Rust Dragon: Hatred Dmg-Gorgon
135	h	#103	0	0	0	2	3	4	5	6	7	8	9	Rust Dragon: Hatred Dmg-Mighty Gorgon
135	r	#50	0	0	0	0	25	50	75	125	250	250	250	Rust Dragon: Regenerate 50% R4..R10
135	w	m	0	0	0	0	0	0	0	0	1	1	1	Rust Dragon: Immune to Hostile Mind Spells R8
135	f	f	0	0	0	0	0	1	1	1	1	1	1	Rust Dragon: Fearless R5
136	S	+	0	0	0	0	1	1	1	1	1	1	2	Enchanter: Speed R4/R10
136	l	#35	0	5	10	15	20	25	0	0	0	0	0	Enchanter: Summon Clones of Arch Mage
136	l	#136	0	0	0	0	0	0	15	20	25	30	35	Enchanter: Summon Clones of Enchanter
136	w	1	0	0	0	0	1	1	1	1	1	1	1	Enchanter: Immune to Hostile L1 Spells R4
136	w	2	0	0	0	0	0	0	1	1	1	1	1	Enchanter: Immune to Hostile L2 Spells R6
136	w	3	0	0	0	0	0	0	0	0	1	1	1	Enchanter: Immune to Hostile L3 Spells R8
136	w	4	0	0	0	0	0	0	0	0	0	0	1	Enchanter: Immune to Hostile L4 Spells R10
137	S	+	0	0	0	0	1	1	1	1	1	1	2	Sharpshooter: Speed R4/R10
137	f	s	0	0	0	0	0	0	0	1	1	1	1	Sharpshooter: Unblockable Shooter R7
138	S	+	0	0	0	0	1	1	1	1	1	1	1	Halfling: Speed R4
138	s	#55	0	0	0	1	1	1	2	2	2	3	3	Halfling: Slayer R3/R6/R9
138	f	f	0	0	0	0	0	0	0	1	1	1	1	Halfling: Fearless R7
138	h	#84	0	1	2	3	4	5	6	7	8	9	10	Halfling: Hatred Dmg-Goblin
138	h	#85	0	1	2	3	4	5	6	7	8	9	10	Halfling: Hatred Dmg-Hobgoblin
139	S	+	0	0	0	0	1	1	1	1	1	1	1	Peasant: Speed R4
139	U	#139	0	10	20	30	40	50	60	70	80	90	100	Peasant: Summon 10%/Rank Peasants every 4 rounds
140	S	+	0	0	0	0	1	1	1	1	1	1	2	Boar: Speed R4/R10
140	f	c	0	0	0	1	1	1	1	1	1	1	1	Boar: Champion Charge R3
140	c	#73	0	5	10	15	20	25	30	35	40	45	50	Boar: Disease 5%/Rank
141	S	+	0	0	0	0	1	1	1	1	1	1	1	Mummy: Speed R4
141	a	#42	0	2	4	6	8	10	12	14	16	18	20	Mummy: Mass Curse post-attack 2%/Rank
141	g	%	0	3	6	9	12	15	18	21	24	27	30	Mummy: Reduce Spell Damage 3%/Rank
142	S	+	0	0	0	0	1	1	1	1	1	1	2	Nomad: Speed R4/R10
142	f	b	0	0	0	1	1	1	1	1	1	1	1	Nomad: Strike & Return R3
142	f	c	0	0	0	0	0	0	0	1	1	1	1	Nomad: Champion Charge R7
143	S	+	0	0	0	0	1	1	1	1	1	1	2	Rogue: Speed R4/R10
143	f	R	2	2	2	2	2	1	1	1	1	1	1	Rogue: No Retaliation R5
143	c	#71	0	0	0	0	0	0	0	20	30	40	50	Rogue: Poison R7/R8/R9/R10
144	S	+	0	0	0	0	1	1	1	1	1	1	2	Troll: Speed R4/R10
144	f	r	0	0	0	1	1	1	1	1	1	1	1	Troll: Phoenix Rebirth R3
144	P	+	0	0	0	1	1	1	1	2	2	2	3	Troll: # of Rebirths R3/R7/R10
147	A	=	0	0	0	0	0	0	0	0	0	0	0	First Aid Tent Attack (None)
147	M	=	0	0	0	0	0	0	0	0	0	0	0	First Aid Tent Max. Damage (None)
147	m	=	0	0	0	0	0	0	0	0	0	0	0	First Aid Tent Min. Damage (None)
148	A	=	0	0	0	0	0	0	0	0	0	0	0	Ammo Cart Attack (None)
148	M	=	0	0	0	0	0	0	0	0	0	0	0	Ammo Cart Max. Damage (None)
148	m	=	0	0	0	0	0	0	0	0	0	0	0	Ammo Cart Min. Damage (None)
